Instance cominisatPS-DL cominisatPS
mp1-ps_5000_21250_3_0_0.8_0_1.50_8.cnf 124.526 112.869
g2-modgen-n200-m90860q08c40-13698.cnf 1552.17 677.413
g2-T122.1.0.cnf 1556.47 1180.77
mp1-klieber2017s-2000-022-eq.cnf 1563.47 1392.18
mp1-blockpuzzle_9x9_s1_free10.cnf 68.936 36.5104
mp1-ps_5000_21250_3_0_0.8_0_1.55_2.cnf 1756.84 1330.39
g2-ACG-15-10p1.cnf 1998.91 1669.75
g2-T81.2.1.cnf 2040.48 1308.15
g2-T65.2.0.cnf 429.17 534.123
mp1-22.5.cnf 2111.45 5000.01
mp1-22.4.cnf 2240.05 5000.01
mp1-22.6.cnf 403.392 5000.01
mp1-bsat201-707.cnf 478.298 591.801
g2-T118.2.1.cnf 2548.35 2498.75
g2-T65.2.1.cnf 2939.97 1808.59
g2-modgen-n200-m90860q08c40-16823.cnf 3364.33 870.49
mp1-klieber2017s-1600-023-eq.cnf 3485.49 3550.78
mp1-blockpuzzle_5x10_s3_free4.cnf 806.895 742.18
g2-UTI-20-10p1.cnf 2803.53 1992.53
mp1-23.3.cnf 5000.1 5000.01
g2-T169.1.0.cnf 5000.11 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.50_0.cnf 5000.11 5000.01
mp1-22.9.cnf 5000.1 5000.01
g2-ak128astepmodbtisc.cnf 5000.12 5000.01
g2-gss-30-s100.cnf 5000.1 5000.01
g2-hwmcc15deep-intel066-k10.cnf 5000.12 2327.93
g2-gss-32-s100.cnf 5000.13 5000.01
g2-T100.2.0.cnf 5000.13 5000.01
mp1-Nb6T07.cnf 5000.13 5000.01
g2-slp-synthesis-aes-top25.cnf 5000.12 1143.8
g2-T102.2.1.cnf 5000.13 5000.08
g2-hwmcc15deep-bobpcihm-k33.cnf 5000.11 5000.01
g2-hwmcc15deep-6s179-k17.cnf 5000.12 5000.01
mp1-klieber2017s-0300-035-t12.cnf 5000.12 5000.01
g2-T103.2.1.cnf 5000.13 5000.07
g2-hwmcc15deep-6s188-k44.cnf 5000.03 5000.02
g2-ak128paralbg1sbisc.cnf 7.55223 9.28738
g2-T99.2.0.cnf 11.4236 11.6471
mp1-Nb6T27.cnf 5000.01 5000.01
mp1-23.2.cnf 5000.01 5000.02
mp1-tri_ali_s11_c35_abio_UNS.cnf 80.8548 75.9184
