Instance MapleLCMDistChrBT MapleLCMDistChrBt-DL-v1 MapleLCMDistChrBt-DL-v2
g2-T81.2.1.cnf 654.681 486.425 502.573
mp1-klieber2017s-2000-023-eq.cnf 1680.44 1618.47 1563.43
g2-ak128boothmodasaig.cnf 5000.01 5000.02 5000.01
mp1-ps_5000_21250_3_0_0.7_0_1.50_0.cnf 5000.01 5000.22 5000.01
g2-hwmcc15deep-6s179-k17.cnf 755.121 1700.83 1828.4
g2-ak128boothbg2msaig.cnf 5000.01 5000.01 5000.01
mp1-rubikcube820.cnf 5000 5000.01 5000.02
mp1-ps_5000_21250_3_0_0.8_0_1.50_8.cnf 103.993 105.007 105.613
g2-modgen-n200-m90860q08c40-16823.cnf 178.326 235.351 238.475
g2-newton.8.3.i.smt2-cvc4.cnf 96.2742 120.477 110.003
mp1-klieber2017s-0490-022-t12.cnf 22.2379 154.926 152.658
mp1-blockpuzzle_9x9_s5_free3.cnf 249.799 296.609 304.802
g2-ak128modasmodasisc.cnf 5000.01 5000.02 5000.02
mp1-Nb6T07.cnf 5000.01 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.8_0_1.70_8.cnf 5000.02 5000 5000.03
mp1-9_29.cnf 432.383 279.969 286.643
g2-T83.2.1.cnf 597.121 618.81 608.749
mp1-ps_5000_21250_3_0_0.7_0_1.50_4.cnf 5000 5000.01 5000.01
g2-ACG-15-10p1.cnf 786.399 672.506 685.792
g2-T101.2.0.cnf 5000.01 5000.26 5000.1
g2-UCG-15-10p1.cnf 498.657 397.099 503.633
g2-T109.2.0.cnf 1308.6 1305.55 1285.11
mp1-squ_any_s09x07_c27_abix_UNS.cnf 469.146 314.878 314.575
g2-T122.1.0.cnf 288.991 292.913 312.524
mp1-klieber2017s-1000-023-eq.cnf 1387.68 1423.95 1336.16
g2-T100.2.0.cnf 5000.06 5000.37 5000.05
mp1-klieber2017s-0500-023-t12.cnf 137.358 383.475 390.227
g2-UCG-20-10p1.cnf 718.216 923.052 895
g2-gss-34-s100.cnf 5000.02 5000.01 5000.01
mp1-Nb6T28.cnf 184.274 70.0473 67.4817
g2-ak128astepmodasaig.cnf 5000.01 5000.01 5000.12
mp1-ps_5000_21250_3_0_0.8_0_1.50_2.cnf 107.388 107.588 107.112
mp1-blockpuzzle_9x9_s7_free9.cnf 1649.31 2607.98 3323.42
g2-ak128paralbg2asaig.cnf 5000.01 5000.01 5000.01
mp1-rubikcube520.cnf 5000.02 5000.01 5000.02
mp1-rubikcube901.cnf 239.628 233.407 239.356
g2-hwmcc15deep-6s33-k33.cnf 728.56 688.352 703.706
mp1-rubikcube420.cnf 5000.01 5000.25 5000.01
mp1-22.8.cnf 564.766 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.8_0_1.50_0.cnf 53.3353 54.8844 56.2618
g2-hwmcc15deep-beemlifts3b1-k29.cnf 1301.38 1477.45 1536.97
mp1-ps_5000_21250_3_0_0.6_0_1.50_6.cnf 5000.02 5000.01 5000.01
mp1-9_22.cnf 5000.01 5000.01 4302.19
mp1-Nb6T06.cnf 58.2608 79.7576 79.1329
mp1-24.5.cnf 5000.01 5000.02 5000.1
